"Id","IdDec","Name","Base","Offset","File","Line"
"0x1582","5506","SM_DELSESSION_REQ","SM_BASE","0x0001","SSProtocol.h","6"
"0x1583","5507","SM_QUITSERVICE_REQ","SM_BASE","0x0002","SSProtocol.h","15"
"0x1584","5508","SM_AICMD_REQ","SM_BASE","0x0003","SSProtocol.h","17"
"0x1585","5509","SM_AICMD_ACK","SM_BASE","0x0004","SSProtocol.h","27"
"0x1586","5510","SM_LOCALENABLE_REQ","SM_BASE","0x0005","SSProtocol.h","36"
"0x1587","5511","SM_CASTLEENABLE_REQ","SM_BASE","0x0006","SSProtocol.h","37"
"0x1588","5512","SM_SWITCHCHANGE_REQ","SM_BASE","0x0007","SSProtocol.h","39"
"0x1589","5513","SM_ADDSELFOBJ_REQ","SM_BASE","0x0008","SSProtocol.h","40"
"0x158A","5514","SM_DELSELFOBJ_REQ","SM_BASE","0x0009","SSProtocol.h","41"
"0x158B","5515","SM_DELSELFOBJ_ACK","SM_BASE","0x000A","SSProtocol.h","42"
"0x158C","5516","SM_SWITCHSTART_REQ","SM_BASE","0x000B","SSProtocol.h","43"
"0x158D","5517","SM_GUILDDISORGANIZATION_REQ","SM_BASE","0x000C","SSProtocol.h","45"
"0x158E","5518","SM_POSTBILL_REQ","SM_BASE","0x000D","SSProtocol.h","49"
"0x158F","5519","SM_POSTBILL_ACK","SM_BASE","0x000E","SSProtocol.h","50"
"0x1590","5520","SM_POSTBILLERASE_REQ","SM_BASE","0x000F","SSProtocol.h","51"
"0x1591","5521","SM_DUELSTART_REQ","SM_BASE","0x0010","SSProtocol.h","54"
"0x1592","5522","SM_DUELSTART_ACK","SM_BASE","0x0011","SSProtocol.h","55"
"0x1593","5523","SM_DUELEND_REQ","SM_BASE","0x0012","SSProtocol.h","56"
"0x1594","5524","SM_DUELEND_ACK","SM_BASE","0x0013","SSProtocol.h","57"
"0x1595","5525","SM_DUELCOMPLETE_ACK","SM_BASE","0x0014","SSProtocol.h","58"
"0x1596","5526","SM_RESETHOST_REQ","SM_BASE","0x0015","SSProtocol.h","60"
"0x1597","5527","SM_RESETHOST_ACK","SM_BASE","0x0016","SSProtocol.h","61"
"0x1598","5528","SM_EVENTQUARTER_REQ","SM_BASE","0x0017","SSProtocol.h","63"
"0x1599","5529","SM_EVENTQUARTERNOTIFY_REQ","SM_BASE","0x0018","SSProtocol.h","64"
"0x159A","5530","SM_GODBALLCMD_REQ","SM_BASE","0x0019","SSProtocol.h","65"
"0x159B","5531","SM_GODBALLCMD_ACK","SM_BASE","0x001A","SSProtocol.h","66"
