"table_name"	"index_name"	"type_desc"	"is_unique"	"is_primary_key"	"columns"
"TAUCTIONBIDDER"	"PK__TAUCTION__8AA1FCC403C811C8"	"CLUSTERED"	"1"	"1"	"dwAuctionID,dwCharID"
"TAICHART"	"PK__TAICHART__8863207C365E7E8D"	"CLUSTERED"	"1"	"1"	"bAIType,dwCmdID,bTriggerType,dwTriggerID"
"TAICHART"	"IX_TAICHART"	"NONCLUSTERED"	"0"	"0"	"bAIType"
"TAICMDCHART"	"PK__TAICMDCH__E1DB92C4393AEB38"	"CLUSTERED"	"1"	"1"	"dwCmdID"
"TMOUNTCHART"	"PK__TMOUNTCH__1AA6E4B586727322"	"CLUSTERED"	"1"	"1"	"wMountID"
"TAICONCHART"	"PK__TAICONCH__2433FB783C1757E3"	"CLUSTERED"	"1"	"1"	"dwCmdID,bConditionType"
"TAICONCHART"	"IX_TAICONCHART"	"NONCLUSTERED"	"0"	"0"	"dwCmdID"
"TMAPCHART"	"PK__TMAPCHAR__965C2E392B66A5E0"	"CLUSTERED"	"1"	"1"	"bGroupID,wMapID,bServerID"
"TAUCTIONINTEREST"	"PK__TAUCTION__E33FAE520798A2AC"	"CLUSTERED"	"1"	"1"	"dwCharID,dwAuctionID"
"TAUCTIONINTEREST"	"IX_TAUCTIONINTEREST"	"NONCLUSTERED"	"0"	"0"	"dwCharID,dwAuctionID"
"TARENACHART"	"PK__TARENACH__30FE57433EF3C48E"	"CLUSTERED"	"1"	"1"	"wID"
"TFAKECHARCHART"	"PK__TFAKECHA__B92C9D030857BCBB"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TAUCTIONTABLE"	"PK__TAUCTION__A133351441D03139"	"CLUSTERED"	"1"	"1"	"dwAuctionID"
"TUNITCHART"	"PK__TUNITCHA__7F71EF1B3B38E447"	"CLUSTERED"	"1"	"1"	"bGroup,bServerID,wMapID,wUnitID"
"TUNITCHART"	"IX_TUNITCHART_GR_SVR_MAP_ID"	"NONCLUSTERED"	"0"	"0"	"bGroup,wMapID,bServerID"
"TFAKESHOPCHART"	"PK__TFAKESHO__FCD3804E0D1C71D8"	"CLUSTERED"	"1"	"1"	"wIndex,bCountry"
"TSVRMSGCHART"	"PK__TSVRMSGC__2F7525020D3C6D69"	"CLUSTERED"	"1"	"1"	"dwID"
"TQCONDITIONCHART"	"PK__TQCONDIT__2F7525020E5B7A2B"	"CLUSTERED"	"1"	"1"	"dwID"
"TQCONDITIONCHART"	"IX_TQCONDITIONCHART_QUEST"	"NONCLUSTERED"	"0"	"0"	"dwQuestID"
"TITEMCHANGE"	"IX_TITEMCHANGE"	"NONCLUSTERED"	"0"	"0"	"wItemID"
"TRANKING"	"PK__TRANKING__B92C9D036B4AD28E"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TSKILLPOINTCHART"	"PK__TSKILLPO__8AD7F2AF17A4ED43"	"CLUSTERED"	"1"	"1"	"wID,bLevel"
"TSKILLREWARD"	"PK__TSKILLRE__8AD7F2AF1A8159EE"	"CLUSTERED"	"1"	"1"	"wID,bLevel"
"TQREWARDCHART"	"PK__TQREWARD__2F75250214145381"	"CLUSTERED"	"1"	"1"	"dwID"
"TQREWARDCHART"	"IX_TQREWARDCHART_QUEST"	"NONCLUSTERED"	"0"	"0"	"dwQuestID"
"TSKYGARDENTABLE"	"PK__TSKYGARD__30FE574313F457F0"	"CLUSTERED"	"1"	"1"	"wID"
"TFRIENDGROUPTABLE"	"PK__TFRIENDG__8C5653E214BD93A0"	"CLUSTERED"	"1"	"1"	"dwCharID,bGroup"
"TFRIENDGROUPTABLE"	"IX_TFRIENDGROUPTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TSTARTITEMCHART"	"PK__TSTARTIT__3634486623169FEF"	"CLUSTERED"	"1"	"1"	"bCountry,bClass,bInven,bSlot"
"TSTARTRECALL"	"IX_TSTARTRECALL"	"NONCLUSTERED"	"0"	"0"	"bClassID"
"TTEMPCABINETITEMTABLE"	"PK__TTEMPCAB__A2C2BB4D17B9FBDC"	"CLUSTERED"	"1"	"1"	"dwCharID,bCabinetID,dwStItemID"
"TTEMPCABINETITEMTABLE"	"IX_TTEMPCABINETITEMTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TSPAWNPATHCHART"	"PK__TSPAWNPA__FE27189F17C4E8D4"	"CLUSTERED"	"1"	"1"	"wSpawnID,bPathID"
"TQUESTCHART"	"PK__TQUESTCH__529A79CE19CD2CD7"	"CLUSTERED"	"1"	"1"	"dwQuestID"
"TQUESTCHART"	"IX_TQUESTCHART_PARENT"	"NONCLUSTERED"	"0"	"0"	"dwParentID"
"TFRIENDTABLE"	"PK__TFRIENDT__1F7F75C3188E2484"	"CLUSTERED"	"1"	"1"	"dwCharID,dwFriendID"
"TFRIENDTABLE"	"IX_TFRIENDTABLE"	"NONCLUSTERED"	"0"	"0"	"dwFriendID"
"TFRIENDTABLE"	"IX_TFRIENDTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TNPCITEMCHART"	"PK__TNPCITEM__9070BB85190E12C8"	"CLUSTERED"	"1"	"1"	"wNpcID,dwItemID"
