"table_name"	"ordinal"	"column_name"	"type_name"	"max_length"	"precision"	"scale"	"is_nullable"	"is_identity"	"is_pk"	"pk_name"	"default_definition"
"ACCESSORYMAGICTABLE"	"1"	"ID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__ACCESSOR__3214EC27467F8076"	
"ACCESSORYMAGICTABLE"	"2"	"MagicID"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__ACCESSOR__3214EC27467F8076"	
"ACCESSORYMAGICTABLE"	"3"	"MinValue"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__ACCESSOR__3214EC27467F8076"	
"ACCESSORYMAGICTABLE"	"4"	"MaxValue"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__ACCESSOR__3214EC27467F8076"	
"charkilling_log"	"1"	"dwKillerID"	"int"	"4"	"10"	"0"	"1"	"0"	"0"		
"charkilling_log"	"2"	"dwTargetID"	"int"	"4"	"10"	"0"	"1"	"0"	"0"		
"charkilling_log"	"3"	"date"	"smalldatetime"	"4"	"16"	"0"	"1"	"0"	"0"		"(getdate())"
"dtproperties"	"1"	"id"	"int"	"4"	"10"	"0"	"0"	"1"	"1"	"PK__dtproper__92EB783E65438AA8"	
"dtproperties"	"2"	"objectid"	"int"	"4"	"10"	"0"	"1"	"0"	"0"	"PK__dtproper__92EB783E65438AA8"	
"dtproperties"	"3"	"property"	"varchar"	"64"	"0"	"0"	"0"	"0"	"1"	"PK__dtproper__92EB783E65438AA8"	
"dtproperties"	"4"	"value"	"varchar"	"255"	"0"	"0"	"1"	"0"	"0"	"PK__dtproper__92EB783E65438AA8"	
"dtproperties"	"5"	"uvalue"	"nvarchar"	"510"	"0"	"0"	"1"	"0"	"0"	"PK__dtproper__92EB783E65438AA8"	
"dtproperties"	"6"	"lvalue"	"image"	"16"	"0"	"0"	"1"	"0"	"0"	"PK__dtproper__92EB783E65438AA8"	
"dtproperties"	"7"	"version"	"int"	"4"	"10"	"0"	"0"	"0"	"0"	"PK__dtproper__92EB783E65438AA8"	"((0))"
"OTESTER"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"1"	"0"	"0"		
"STATISTICACCOUNT"	"1"	"nAccount"	"int"	"4"	"10"	"0"	"1"	"0"	"0"		
"STATISTICTEMP"	"1"	"nValue1"	"int"	"4"	"10"	"0"	"1"	"0"	"0"		
"TACTIVECHARTABLE"	"1"	"dwCharID"	"int"	"4"	"10"	"0"	"0"	"0"	"1"	"PK__TACTIVEC__B92C9D036CE4AC70"	
