"table_name"	"index_name"	"type_desc"	"is_unique"	"is_primary_key"	"columns"
"TGROUP"	"PK_TGROUP"	"CLUSTERED"	"1"	"1"	"bGroupID"
"TGROUP"	"IX_TGROUP_STATUS"	"NONCLUSTERED"	"0"	"0"	"bStatus"
"TGROUP"	"IX_TGROUP_GROUPID"	"NONCLUSTERED"	"0"	"0"	"bGroupID"
"TGROUP"	"IX_TGROUP_GROUPID_STATUS"	"NONCLUSTERED"	"0"	"0"	"bGroupID,bStatus"
"TEVENTCHART"	"PK_TEVENTCHART"	"CLUSTERED"	"1"	"1"	"dwIndex"
"TALLLOCALTABLE"	"PK_TALLLOCALTABLE"	"CLUSTERED"	"1"	"1"	"dDate,bWorld,wLocalID"
"TMANAGER"	"PK__TMANAGER__1E5A75C5"	"CLUSTERED"	"1"	"1"	"szID"
"TACCOUNT"	"PK_TACCOUNT"	"CLUSTERED"	"1"	"1"	"dwUserID"
"TACCOUNT"	"IX_TACCOUNT_USERID"	"NONCLUSTERED"	"0"	"0"	"szUserID"
"TCASHCATEGORYCHART"	"PK_TCASHCATEGORYCHART"	"CLUSTERED"	"1"	"1"	"bID"
"TVETERANCHART"	"PK__TVETERAN__DE99891F168449D3"	"CLUSTERED"	"1"	"1"	"bID"
"TMANAGERLOG"	"PK__TMANAGERLOG__2042BE37"	"CLUSTERED"	"1"	"1"	"dwSeq"
"TLogTest"	"PK__TLogTest__222B06A9"	"CLUSTERED"	"1"	"1"	"dwID"
"TKEEPINGNAME"	"IX_TKEEPINGNAME"	"NONCLUSTERED"	"0"	"0"	"szName"
"TLOG"	"PK_TLOG"	"CLUSTERED"	"1"	"1"	"dwKEY"
"TUSERPROTECTED"	"PK__TUSERPRO__E15A5BA13BEAD8AC"	"CLUSTERED"	"1"	"1"	"dwSeq"
"TUSERPROTECTED"	"IX_TUSERPROTECTED_USERID"	"NONCLUSTERED"	"0"	"0"	"dwUserID"
"TRESERVEDNAME"	"PK_TRESERVEDNAME"	"CLUSTERED"	"1"	"1"	"szName"
"TUNIFYCASHITEM"	"IX_TUNIFYCASHITEM"	"NONCLUSTERED"	"0"	"0"	"dwUserID"
"TIPADDR"	"PK_TIPADDR"	"CLUSTERED"	"1"	"1"	"bMachineID,szIPAddr"
"TIPADDR"	"IX_TIPADDR_MACHINEID"	"NONCLUSTERED"	"0"	"0"	"bMachineID"
